ano,trimestre,product_category_name,total_vendas
2016,3,beleza_saude,3
2016,3,moveis_decoracao,2
2016,3,telefonia,1
2016,4,alimentos,1
2016,4,audio,2
2016,4,automotivo,12
2016,4,bebes,14
2016,4,beleza_saude,48
2016,4,brinquedos,27
2016,4,cama_mesa_banho,8
2016,4,climatizacao,10
2016,4,consoles_games,10
2016,4,cool_stuff,8
2016,4,eletronicos,2
2016,4,esporte_lazer,19
2016,4,fashion_bolsas_e_acessorios,10
2016,4,fashion_calcados,1
2016,4,fashion_roupa_feminina,1
2016,4,fashion_roupa_masculina,1
2016,4,ferramentas_jardim,5
2016,4,fraldas_higiene,1
2016,4,industria_comercio_e_negocios,4
2016,4,informatica_acessorios,21
2016,4,livros_interesse_geral,1
2016,4,livros_tecnicos,1
2016,4,market_place,13
2016,4,moveis_decoracao,67
2016,4,moveis_escritorio,6
2016,4,perfumaria,33
2016,4,pet_shop,4
2016,4,relogios_presentes,5
2016,4,telefonia,10
2016,4,telefonia_fixa,5
2016,4,utilidades_domesticas,12
2017,1,agro_industria_e_comercio,12
2017,1,alimentos,35
2017,1,alimentos_bebidas,5
2017,1,artes,5
2017,1,audio,19
2017,1,automotivo,207
2017,1,bebes,119
2017,1,bebidas,5
2017,1,beleza_saude,462
2017,1,brinquedos,213
2017,1,cama_mesa_banho,502
2017,1,casa_conforto,16
2017,1,casa_conforto_2,5
2017,1,casa_construcao,14
2017,1,cine_foto,1
2017,1,climatizacao,33
2017,1,consoles_games,91
2017,1,construcao_ferramentas_construcao,8
2017,1,construcao_ferramentas_jardim,2
2017,1,construcao_ferramentas_seguranca,3
2017,1,cool_stuff,233
2017,1,dvds_blu_ray,8
2017,1,eletrodomesticos,17
2017,1,eletrodomesticos_2,11
2017,1,eletronicos,67
2017,1,eletroportateis,65
2017,1,esporte_lazer,435
2017,1,fashion_bolsas_e_acessorios,142
2017,1,fashion_calcados,18
2017,1,fashion_esporte,1
2017,1,fashion_roupa_feminina,7
2017,1,fashion_roupa_masculina,17
2017,1,fashion_underwear_e_moda_praia,16
2017,1,ferramentas_jardim,280
2017,1,industria_comercio_e_negocios,3
2017,1,informatica_acessorios,311
2017,1,instrumentos_musicais,20
2017,1,livros_importados,1
2017,1,livros_interesse_geral,35
2017,1,livros_tecnicos,3
2017,1,malas_acessorios,64
2017,1,market_place,45
2017,1,moveis_cozinha_area_de_servico_jantar_e_jardim,6
2017,1,moveis_decoracao,776
2017,1,moveis_escritorio,151
2017,1,moveis_quarto,9
2017,1,moveis_sala,58
2017,1,musica,3
2017,1,papelaria,89
2017,1,pcs,2
2017,1,perfumaria,191
2017,1,pet_shop,100
2017,1,relogios_presentes,129
2017,1,seguros_e_servicos,1
2017,1,sinalizacao_e_seguranca,1
2017,1,tablets_impressao_imagem,13
2017,1,telefonia,309
2017,1,telefonia_fixa,65
2017,1,utilidades_domesticas,313
2017,2,agro_industria_e_comercio,5
2017,2,alimentos,12
2017,2,alimentos_bebidas,22
2017,2,artes,19
2017,2,artes_e_artesanato,1
2017,2,artigos_de_natal,4
2017,2,audio,39
2017,2,automotivo,325
2017,2,bebes,237
2017,2,bebidas,9
2017,2,beleza_saude,739
2017,2,brinquedos,471
2017,2,cama_mesa_banho,1025
2017,2,casa_conforto,72
2017,2,casa_conforto_2,2
2017,2,casa_construcao,20
2017,2,cine_foto,4
2017,2,climatizacao,35
2017,2,consoles_games,76
2017,2,construcao_ferramentas_construcao,9
2017,2,construcao_ferramentas_ferramentas,3
2017,2,construcao_ferramentas_jardim,20
2017,2,cool_stuff,569
2017,2,dvds_blu_ray,10
2017,2,eletrodomesticos,81
2017,2,eletrodomesticos_2,17
2017,2,eletronicos,158
2017,2,eletroportateis,62
2017,2,esporte_lazer,811
2017,2,fashion_bolsas_e_acessorios,243
2017,2,fashion_calcados,65
2017,2,fashion_esporte,13
2017,2,fashion_roupa_feminina,9
2017,2,fashion_roupa_infanto_juvenil,2
2017,2,fashion_roupa_masculina,21
2017,2,fashion_underwear_e_moda_praia,12
2017,2,ferramentas_jardim,374
2017,2,industria_comercio_e_negocios,4
2017,2,informatica_acessorios,717
2017,2,instrumentos_musicais,57
2017,2,la_cuisine,2
2017,2,livros_importados,3
2017,2,livros_interesse_geral,53
2017,2,livros_tecnicos,6
2017,2,malas_acessorios,180
2017,2,market_place,58
2017,2,moveis_colchao_e_estofado,4
2017,2,moveis_cozinha_area_de_servico_jantar_e_jardim,22
2017,2,moveis_decoracao,715
2017,2,moveis_escritorio,164
2017,2,moveis_quarto,16
2017,2,moveis_sala,61
2017,2,musica,6
2017,2,papelaria,140
2017,2,pc_gamer,4
2017,2,perfumaria,404
2017,2,pet_shop,188
2017,2,portateis_casa_forno_e_cafe,1
2017,2,relogios_presentes,356
2017,2,sinalizacao_e_seguranca,9
2017,2,tablets_impressao_imagem,24
2017,2,telefonia,529
2017,2,telefonia_fixa,33
2017,2,utilidades_domesticas,821
2017,3,agro_industria_e_comercio,9
2017,3,alimentos,32
2017,3,alimentos_bebidas,32
2017,3,artes,10
2017,3,artes_e_artesanato,1
2017,3,artigos_de_festas,3
2017,3,artigos_de_natal,7
2017,3,audio,24
2017,3,automotivo,391
2017,3,bebes,435
2017,3,bebidas,13
2017,3,beleza_saude,1056
2017,3,brinquedos,688
2017,3,cama_mesa_banho,1624
2017,3,casa_conforto,104
2017,3,casa_conforto_2,5
2017,3,casa_construcao,14
2017,3,cds_dvds_musicais,8
2017,3,cine_foto,1
2017,3,climatizacao,28
2017,3,consoles_games,204
2017,3,construcao_ferramentas_construcao,24
2017,3,construcao_ferramentas_ferramentas,3
2017,3,construcao_ferramentas_iluminacao,4
2017,3,construcao_ferramentas_jardim,24
2017,3,construcao_ferramentas_seguranca,6
2017,3,cool_stuff,701
2017,3,dvds_blu_ray,12
2017,3,eletrodomesticos,96
2017,3,eletrodomesticos_2,30
2017,3,eletronicos,220
2017,3,eletroportateis,103
2017,3,esporte_lazer,1273
2017,3,fashion_bolsas_e_acessorios,311
2017,3,fashion_calcados,56
2017,3,fashion_esporte,8
2017,3,fashion_roupa_feminina,12
2017,3,fashion_roupa_infanto_juvenil,2
2017,3,fashion_roupa_masculina,40
2017,3,fashion_underwear_e_moda_praia,34
2017,3,ferramentas_jardim,653
2017,3,industria_comercio_e_negocios,7
2017,3,informatica_acessorios,929
2017,3,instrumentos_musicais,87
2017,3,la_cuisine,6
2017,3,livros_importados,5
2017,3,livros_interesse_geral,57
2017,3,livros_tecnicos,19
2017,3,malas_acessorios,179
2017,3,market_place,47
2017,3,moveis_colchao_e_estofado,4
2017,3,moveis_cozinha_area_de_servico_jantar_e_jardim,23
2017,3,moveis_decoracao,1104
2017,3,moveis_escritorio,234
2017,3,moveis_quarto,12
2017,3,moveis_sala,65
2017,3,musica,1
2017,3,papelaria,237
2017,3,pcs,70
2017,3,perfumaria,414
2017,3,pet_shop,247
2017,3,portateis_casa_forno_e_cafe,3
2017,3,relogios_presentes,648
2017,3,seguros_e_servicos,1
2017,3,sinalizacao_e_seguranca,19
2017,3,tablets_impressao_imagem,11
2017,3,telefonia,457
2017,3,telefonia_fixa,42
2017,3,utilidades_domesticas,819
2017,4,agro_industria_e_comercio,35
2017,4,alimentos,48
2017,4,alimentos_bebidas,72
2017,4,artes,7
2017,4,artigos_de_festas,8
2017,4,artigos_de_natal,52
2017,4,audio,85
2017,4,automotivo,681
2017,4,bebes,484
2017,4,bebidas,65
2017,4,beleza_saude,1411
2017,4,brinquedos,1230
2017,4,cama_mesa_banho,2072
2017,4,casa_conforto,86
2017,4,casa_conforto_2,8
2017,4,casa_construcao,95
2017,4,cds_dvds_musicais,5
2017,4,cine_foto,2
2017,4,climatizacao,34
2017,4,consoles_games,336
2017,4,construcao_ferramentas_construcao,93
2017,4,construcao_ferramentas_ferramentas,16
2017,4,construcao_ferramentas_iluminacao,14
2017,4,construcao_ferramentas_jardim,32
2017,4,construcao_ferramentas_seguranca,34
2017,4,cool_stuff,812
2017,4,dvds_blu_ray,9
2017,4,eletrodomesticos,49
2017,4,eletrodomesticos_2,31
2017,4,eletronicos,457
2017,4,eletroportateis,92
2017,4,esporte_lazer,1576
2017,4,fashion_bolsas_e_acessorios,445
2017,4,fashion_calcados,51
2017,4,fashion_esporte,3
2017,4,fashion_roupa_feminina,3
2017,4,fashion_roupa_infanto_juvenil,1
2017,4,fashion_roupa_masculina,27
2017,4,fashion_underwear_e_moda_praia,26
2017,4,ferramentas_jardim,1156
2017,4,flores,8
2017,4,fraldas_higiene,2
2017,4,industria_comercio_e_negocios,21
2017,4,informatica_acessorios,1141
2017,4,instrumentos_musicais,118
2017,4,la_cuisine,2
2017,4,livros_importados,7
2017,4,livros_interesse_geral,91
2017,4,livros_tecnicos,16
2017,4,malas_acessorios,175
2017,4,market_place,41
2017,4,moveis_colchao_e_estofado,10
2017,4,moveis_cozinha_area_de_servico_jantar_e_jardim,69
2017,4,moveis_decoracao,1552
2017,4,moveis_escritorio,253
2017,4,moveis_quarto,8
2017,4,moveis_sala,78
2017,4,musica,1
2017,4,papelaria,518
2017,4,pcs,57
2017,4,perfumaria,741
2017,4,pet_shop,249
2017,4,relogios_presentes,1150
2017,4,sinalizacao_e_seguranca,17
2017,4,tablets_impressao_imagem,13
2017,4,telefonia,903
2017,4,telefonia_fixa,17
2017,4,utilidades_domesticas,953
2018,1,agro_industria_e_comercio,73
2018,1,alimentos,94
2018,1,alimentos_bebidas,54
2018,1,artes,39
2018,1,artigos_de_festas,8
2018,1,artigos_de_natal,46
2018,1,audio,75
2018,1,automotivo,931
2018,1,bebes,623
2018,1,bebidas,105
2018,1,beleza_saude,1969
2018,1,brinquedos,545
2018,1,cama_mesa_banho,2336
2018,1,casa_conforto,60
2018,1,casa_conforto_2,4
2018,1,casa_construcao,125
2018,1,cine_foto,11
2018,1,climatizacao,66
2018,1,consoles_games,164
2018,1,construcao_ferramentas_construcao,188
2018,1,construcao_ferramentas_ferramentas,29
2018,1,construcao_ferramentas_iluminacao,37
2018,1,construcao_ferramentas_jardim,67
2018,1,construcao_ferramentas_seguranca,41
2018,1,cool_stuff,743
2018,1,dvds_blu_ray,5
2018,1,eletrodomesticos,147
2018,1,eletrodomesticos_2,46
2018,1,eletronicos,944
2018,1,eletroportateis,124
2018,1,esporte_lazer,2066
2018,1,fashion_bolsas_e_acessorios,371
2018,1,fashion_calcados,32
2018,1,fashion_esporte,3
2018,1,fashion_roupa_feminina,8
2018,1,fashion_roupa_infanto_juvenil,2
2018,1,fashion_roupa_masculina,9
2018,1,fashion_underwear_e_moda_praia,20
2018,1,ferramentas_jardim,798
2018,1,flores,17
2018,1,fraldas_higiene,15
2018,1,industria_comercio_e_negocios,85
2018,1,informatica_acessorios,2446
2018,1,instrumentos_musicais,152
2018,1,la_cuisine,2
2018,1,livros_importados,12
2018,1,livros_interesse_geral,113
2018,1,livros_tecnicos,60
2018,1,malas_acessorios,232
2018,1,market_place,59
2018,1,moveis_colchao_e_estofado,19
2018,1,moveis_cozinha_area_de_servico_jantar_e_jardim,53
2018,1,moveis_decoracao,1641
2018,1,moveis_escritorio,456
2018,1,moveis_quarto,19
2018,1,moveis_sala,67
2018,1,musica,5
2018,1,papelaria,720
2018,1,pc_gamer,1
2018,1,pcs,12
2018,1,perfumaria,646
2018,1,pet_shop,316
2018,1,portateis_casa_forno_e_cafe,13
2018,1,relogios_presentes,1137
2018,1,sinalizacao_e_seguranca,32
2018,1,tablets_impressao_imagem,19
2018,1,telefonia,1075
2018,1,telefonia_fixa,36
2018,1,utilidades_domesticas,1166
2018,2,agro_industria_e_comercio,30
2018,2,alimentos,108
2018,2,alimentos_bebidas,54
2018,2,artes,90
2018,2,artes_e_artesanato,2
2018,2,artigos_de_festas,8
2018,2,artigos_de_natal,25
2018,2,audio,72
2018,2,automotivo,967
2018,2,bebes,714
2018,2,bebidas,135
2018,2,beleza_saude,2349
2018,2,brinquedos,617
2018,2,cama_mesa_banho,2266
2018,2,casa_conforto,56
2018,2,casa_conforto_2,3
2018,2,casa_construcao,226
2018,2,cds_dvds_musicais,1
2018,2,cine_foto,36
2018,2,climatizacao,53
2018,2,consoles_games,145
2018,2,construcao_ferramentas_construcao,330
2018,2,construcao_ferramentas_ferramentas,26
2018,2,construcao_ferramentas_iluminacao,132
2018,2,construcao_ferramentas_jardim,45
2018,2,construcao_ferramentas_seguranca,69
2018,2,cool_stuff,486
2018,2,dvds_blu_ray,18
2018,2,eletrodomesticos,237
2018,2,eletrodomesticos_2,65
2018,2,eletronicos,640
2018,2,eletroportateis,165
2018,2,esporte_lazer,1518
2018,2,fashion_bolsas_e_acessorios,305
2018,2,fashion_calcados,31
2018,2,fashion_esporte,1
2018,2,fashion_roupa_feminina,5
2018,2,fashion_roupa_infanto_juvenil,1
2018,2,fashion_roupa_masculina,9
2018,2,fashion_underwear_e_moda_praia,19
2018,2,ferramentas_jardim,764
2018,2,flores,6
2018,2,fraldas_higiene,14
2018,2,industria_comercio_e_negocios,120
2018,2,informatica_acessorios,1416
2018,2,instrumentos_musicais,168
2018,2,la_cuisine,2
2018,2,livros_importados,23
2018,2,livros_interesse_geral,142
2018,2,livros_tecnicos,105
2018,2,malas_acessorios,142
2018,2,market_place,36
2018,2,moveis_cozinha_area_de_servico_jantar_e_jardim,63
2018,2,moveis_decoracao,1604
2018,2,moveis_escritorio,315
2018,2,moveis_quarto,23
2018,2,moveis_sala,79
2018,2,musica,13
2018,2,papelaria,452
2018,2,pcs,42
2018,2,perfumaria,562
2018,2,pet_shop,484
2018,2,portateis_casa_forno_e_cafe,27
2018,2,portateis_cozinha_e_preparadores_de_alimentos,2
2018,2,relogios_presentes,1622
2018,2,sinalizacao_e_seguranca,70
2018,2,tablets_impressao_imagem,3
2018,2,telefonia,759
2018,2,telefonia_fixa,45
2018,2,utilidades_domesticas,1674
2018,3,agro_industria_e_comercio,48
2018,3,alimentos,180
2018,3,alimentos_bebidas,39
2018,3,artes,39
2018,3,artes_e_artesanato,20
2018,3,artigos_de_festas,16
2018,3,artigos_de_natal,19
2018,3,audio,48
2018,3,automotivo,721
2018,3,bebes,439
2018,3,bebidas,47
2018,3,beleza_saude,1633
2018,3,brinquedos,326
2018,3,cama_mesa_banho,1282
2018,3,casa_conforto,40
2018,3,casa_conforto_2,3
2018,3,casa_construcao,110
2018,3,cine_foto,17
2018,3,climatizacao,38
2018,3,consoles_games,111
2018,3,construcao_ferramentas_construcao,277
2018,3,construcao_ferramentas_ferramentas,26
2018,3,construcao_ferramentas_iluminacao,117
2018,3,construcao_ferramentas_jardim,48
2018,3,construcao_ferramentas_seguranca,41
2018,3,cool_stuff,244
2018,3,dvds_blu_ray,2
2018,3,eletrodomesticos,144
2018,3,eletrodomesticos_2,38
2018,3,eletronicos,279
2018,3,eletroportateis,68
2018,3,esporte_lazer,943
2018,3,fashion_bolsas_e_acessorios,204
2018,3,fashion_calcados,8
2018,3,fashion_esporte,1
2018,3,fashion_roupa_feminina,3
2018,3,fashion_roupa_masculina,8
2018,3,fashion_underwear_e_moda_praia,4
2018,3,ferramentas_jardim,317
2018,3,flores,2
2018,3,fraldas_higiene,7
2018,3,industria_comercio_e_negocios,24
2018,3,informatica_acessorios,846
2018,3,instrumentos_musicais,78
2018,3,livros_importados,9
2018,3,livros_interesse_geral,61
2018,3,livros_tecnicos,57
2018,3,malas_acessorios,120
2018,3,market_place,12
2018,3,moveis_colchao_e_estofado,1
2018,3,moveis_cozinha_area_de_servico_jantar_e_jardim,45
2018,3,moveis_decoracao,873
2018,3,moveis_escritorio,112
2018,3,moveis_quarto,22
2018,3,moveis_sala,95
2018,3,musica,9
2018,3,papelaria,361
2018,3,pc_gamer,4
2018,3,pcs,20
2018,3,perfumaria,428
2018,3,pet_shop,359
2018,3,portateis_casa_forno_e_cafe,32
2018,3,portateis_cozinha_e_preparadores_de_alimentos,13
2018,3,relogios_presentes,944
2018,3,sinalizacao_e_seguranca,51
2018,3,telefonia,502
2018,3,telefonia_fixa,21
2018,3,utilidades_domesticas,1206
